dataset,id,height,width,fov_pixel_ratio,manual1_vessel_ratio_in_fov,AH_vessel_ratio_in_fov,VK_vessel_ratio_in_fov
DRIVE_train,21,584,565,0.6837192386955995,0.10926418751478195,,
DRIVE_train,22,584,565,0.6900412171172263,0.13088200986385345,,
DRIVE_train,23,584,565,0.6915595829797552,0.09515879303216934,,
DRIVE_train,24,584,565,0.6901624439325978,0.167811319231987,,
DRIVE_train,25,584,565,0.6890592799127166,0.13926689326763153,,
DRIVE_train,26,584,565,0.6821796581403806,0.12215449661016464,,
DRIVE_train,27,584,565,0.6904655109710268,0.1276017725467682,,
DRIVE_train,28,584,565,0.6889532064492666,0.14168576896190643,,
DRIVE_train,29,584,565,0.6888986543823494,0.12202772498130798,,
DRIVE_train,30,584,565,0.6887471208631349,0.1138656809926033,,
DRIVE_train,31,584,565,0.6900866771729907,0.08738213777542114,,
DRIVE_train,32,584,565,0.6817311189235059,0.11983426660299301,,
DRIVE_train,33,584,565,0.6901988119772093,0.1171477735042572,,
DRIVE_train,34,584,565,0.6865741301975997,0.14252103865146637,,
DRIVE_train,35,584,565,0.6899199903018548,0.125686377286911,,
DRIVE_train,36,584,565,0.6886198327069948,0.15792831778526306,,
DRIVE_train,37,584,565,0.6885258819250818,0.12694884836673737,,
DRIVE_train,38,584,565,0.6856103770153958,0.1258796602487564,,
DRIVE_train,39,584,565,0.689356285610377,0.12462850660085678,,
DRIVE_train,40,584,565,0.6878833798036126,0.11014477163553238,,
DRIVE_test,01,584,565,0.680012728815614,0.1310829520225525,,
DRIVE_test,02,584,565,0.6821645047884592,0.14982207119464874,,
DRIVE_test,03,584,565,0.6841041338344042,0.14568926393985748,,
DRIVE_test,04,584,565,0.6897108740453388,0.13333070278167725,,
DRIVE_test,05,584,565,0.6900624318099163,0.1357002556324005,,
DRIVE_test,06,584,565,0.6894744817553643,0.141121506690979,,
DRIVE_test,07,584,565,0.6900078797429992,0.13239924609661102,,
DRIVE_test,08,584,565,0.6826524427203298,0.12568813562393188,,
DRIVE_test,09,584,565,0.6899624196872348,0.11745585501194,,
DRIVE_test,10,584,565,0.688968359801188,0.11943764984607697,,
DRIVE_test,11,584,565,0.6904291429264153,0.12963645160198212,,
DRIVE_test,12,584,565,0.689795732816099,0.12517300248146057,,
DRIVE_test,13,584,565,0.6894775124257486,0.14176703989505768,,
DRIVE_test,14,584,565,0.6844890289732088,0.11791245639324188,,
DRIVE_test,15,584,565,0.689156261365014,0.10383739322423935,,
DRIVE_test,16,584,565,0.6900654624803007,0.13083787262439728,,
DRIVE_test,17,584,565,0.6845799490847375,0.1232977956533432,,
DRIVE_test,18,584,565,0.689816947508789,0.11486213654279709,,
DRIVE_test,19,584,565,0.6891380773427082,0.12035375833511353,,
DRIVE_test,20,584,565,0.6895472178445872,0.1066441610455513,,
STARE,im0001,605,700,0.7239669421487603,,0.10597847402095795,0.12331376224756241
STARE,im0002,605,700,0.6343683589138135,,0.09455621242523193,0.07866966724395752
STARE,im0003,605,700,0.7413388429752066,,0.08038999140262604,0.0771857276558876
STARE,im0004,605,700,0.6377308146399056,,0.09366148710250854,0.07951377332210541
STARE,im0005,605,700,0.7352774498229043,,0.12277530133724213,0.14268280565738678
STARE,im0044,605,700,0.7859079102715466,,0.08853715658187866,0.14467059075832367
STARE,im0077,605,700,0.7248429752066116,,0.10906241834163666,0.17766173183918
STARE,im0081,605,700,0.7257662337662337,,0.1021401509642601,0.18811044096946716
STARE,im0082,605,700,0.7284037780401417,,0.1076086238026619,0.1676289141178131
STARE,im0139,605,700,0.7369657615112161,,0.1087903082370758,0.2065170407295227
STARE,im0162,605,700,0.7282809917355372,,0.09782541543245316,0.15714901685714722
STARE,im0163,605,700,0.7310720188902007,,0.10574627667665482,0.15851929783821106
STARE,im0235,605,700,0.7233482880755608,,0.1221395954489708,0.19399486482143402
STARE,im0236,605,700,0.7235182998819363,,0.12474788725376129,0.18296073377132416
STARE,im0239,605,700,0.7315395513577332,,0.11797667294740677,0.17120014131069183
STARE,im0240,605,700,0.5910318772136954,,0.12318719178438187,0.19129692018032074
STARE,im0255,605,700,0.7279338842975207,,0.1229109913110733,0.18001817166805267
STARE,im0291,605,700,0.7227957497048406,,0.06992394477128983,0.08531741052865982
STARE,im0319,605,700,0.7291428571428571,,0.05898145213723183,0.08599963784217834
STARE,im0324,605,700,0.7397355371900827,,0.09020422399044037,0.13471102714538574
